기간,지역,원자력,유연탄,무연탄,유류,LNG
06-Feb,합계,39.58319249,43.70628861,50.59157247,108.25357,98.34113707
06-Jan,합계,39.32455284,43.85874687,53.46993098,102.2425394,106.2817428
05-Dec,합계,39.41414602,43.70544513,50.92827132,107.3018333,94.74711313
05-Nov,합계,39.24196347,44.28161911,50.75965203,113.3972126,94.01911365
05-Oct,합계,39.07244752,43.94840661,54.34528154,134.9862939,90.81028591
05-Sep,합계,38.91567493,44.10214944,57.07540373,112.5665587,92.19829553
05-Aug,합계,38.72351757,43.17266882,56.57611667,163.0845695,87.82413922
05-Jul,합계,38.90690151,42.90605743,53.39424948,100.6911277,83.26953015
05-Jun,합계,39.34146904,43.10967591,58.50164915,105.6298226,80.03507492
05-May,합계,39.21816555,43.57010078,56.98290151,93.44126633,83.76133334
05-Apr,합계,39.22825677,42.84473578,52.5567179,72.98784337,81.81676122
05-Mar,합계,39.40639729,42.7297949,49.56645681,74.48605627,79.75971313
05-Feb,합계,38.63360138,44.08072,53.73023905,80.59681439,85.32107651
05-Jan,합계,39.08719502,43.97442018,50.51541519,82.40368849,84.23261888
04-Dec,합계,39.30827281,44.61703758,52.09721357,88.99737483,84.54002061
04-Nov,합계,39.39975661,43.88695191,53.25494867,80.38907632,82.87238756
04-Oct,합계,39.25937654,43.22948617,52.54365747,83.33808363,81.56627056
04-Sep,합계,40.00640372,42.64425234,61.91072499,85.26888053,85.07997709
04-Aug,합계,40.04224468,42.38887084,57.7434782,92.54020205,85.23961878
04-Jul,합계,39.50471846,41.15774914,57.74654216,90.46216842,77.38743182
04-Jun,합계,39.35244311,40.86328047,54.12211032,79.0765831,75.23074955
04-May,합계,39.72401342,40.50205854,50.44041532,80.16847013,73.89581409
04-Apr,합계,39.71053795,40.08431045,49.03889017,81.49302878,73.31474476
04-Mar,합계,39.63008734,40.27359901,46.78512375,75.34571107,75.79259759
04-Feb,합계,39.08250013,40.90959723,45.76584621,74.55746679,74.67209346
04-Jan,합계,39.10451909,41.0474187,48.03195124,75.03013675,72.13215807
03-Dec,합계,40.61904652,42.18245505,47.38285941,70.70296327,74.34791732
03-Nov,합계,40.14053117,42.13861261,47.60809936,69.4539005,79.94049107
03-Oct,합계,39.53668727,42.1827789,48.90795956,69.54758321,88.58727591
03-Sep,합계,39.28682273,42.80777976,56.09569091,75.14704339,85.23818788
03-Aug,합계,37.96916665,42.13467121,56.25614969,104.4374059,80.40714015
03-Jul,합계,38.22546617,42.37219128,63.60532854,98.04042252,86.70802414
03-Jun,합계,39.76837916,41.60072864,53.4519897,84.57294101,78.27961178
03-May,합계,40.39813689,42.21779617,51.03981429,84.6959542,76.39450961
03-Apr,합계,40.50004895,42.08081283,47.73988983,79.34905497,75.46569899
03-Mar,합계,40.52552666,42.00372989,46.86071162,73.73476648,83.55049971
03-Feb,합계,40.27382284,42.09861868,47.82303352,70.55916796,96.51686899
03-Jan,합계,40.20161974,42.13404938,48.74206067,74.93442815,96.40254276
02-Dec,합계,39.68395659,41.9310899,45.61226181,74.3543443,95.61615319
02-Nov,합계,39.6261892,41.68119675,44.31155046,67.54311469,73.46320997
02-Oct,합계,40.0242029,41.82697236,45.93985757,76.82616115,67.26834021
02-Sep,합계,39.02689072,43.05620681,54.44081653,75.70963344,72.44842143
02-Aug,합계,38.91258329,44.84454552,47.94989234,99.07906787,72.52420844
02-Jul,합계,39.6341298,42.63460953,49.21512038,85.47698223,71.28570848
02-Jun,합계,39.6206231,42.99324363,49.68033306,82.4645582,72.48848791
02-May,합계,39.37185487,41.66046736,48.69151081,66.75507665,75.68979925
02-Apr,합계,40.29989034,41.60040117,50.46536391,60.49094659,73.21190786
02-Mar,합계,39.35188023,42.0886901,51.1184527,62.85430145,74.2479346
02-Feb,합계,38.93293688,42.39458102,54.2437268,71.51587131,79.34000015
02-Jan,합계,40.21211148,41.9052864,48.96326115,72.52170037,79.25681774
